#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2737624,89044,RES,A-ER,2615 Morning Moon ST,"$665,120 ",2STORY,SFR,"3,000",5,3,2,N,N,2025,,58
1,2738483,89044,RES,A-ER,2417 Fasano ST,"$665,000 ",2STORY,SFR,"2,467",5,3,2,N,N,2021,,52
1,2749947,89031,RES,A-ER,3217 Palladio AVE,"$664,900 ",2STORY,SFR,"3,790",5,4,3,Y,Y,2005,,1
1,2734840,89074,RES,A-ER,2838 Via Stella ST,"$660,000 ",2STORY,SFR,"2,882",5,3,3,Y,Y,1994,,71
1,2729487,89147,RES,A-ER,4774 Desert Plains RD,"$660,000 ",2STORY,SFR,"2,890",5,3,3,N,N,1998,,92
1,2748898,89143,RES,A-ER,8625 Wild Diamond AVE,"$659,999 ",2STORY,SFR,"3,297",5,3,2,Y,N,2000,,5
1,2671849,89108,RES,A-ER,4228 Gaye LN,"$659,900 ",1STORY,SFR,"2,737",5,3,0,N,N,1970,,289
1,2748155,89014,RES,A-ER,1699 Sonoran Bluff AVE,"$659,500 ",2STORY,SFR,"2,978",5,3,3,N,N,2016,,8
1,2732799,89002,RES,A-ER,105 Voltaire AVE,"$659,000 ",2STORY,SFR,"3,800",5,3,3,Y,N,2007,,77
1,2749595,89138,RES,A-ER,315 Carlisle Crossing ST,"$658,000 ",2STORY,SFR,"2,431",5,3,2,N,N,2004,,2
1,2741277,89178,RES,A-ER,8655 Rori Springs ST,"$658,000 ",2STORY,SFR,"3,085",5,3,2,N,Y,2016,,41
1,2730124,89166,RES,A-ER,9950 Coyote Echo CT,"$655,000 ",2STORY,SFR,"3,175",5,4,2,N,N,2016,,90
1,2722410,89139,RES,A-ER,6611 Ironbound Bay AVE,"$655,000 ",2STORY,SFR,"3,257",5,3,3,N,N,2002,,118
1,2746600,89178,RES,A-ER,8719 Mount Mira Loma AVE,"$654,000 ",2STORY,SFR,"3,132",5,3,3,N,N,2007,,13
1,2746165,89084,RES,A-ER,6608 Fort William ST,"$650,000 ",2STORY,SFR,"3,671",5,5,3,Y,N,2013,,14
1,2742326,89141,RES,A-ER,11449 Rock Cove WAY,"$650,000 ",2STORY,SFR,"3,133",5,3,3,Y,N,2005,,29
1,2736918,89113,RES,A-ER,8035 Haywood Estate AVE,"$650,000 ",3STORY,SFR,"2,341",5,4,2,N,N,2019,,57
1,2736507,89002,RES,A-ER,630 Bighorn Creek ST,"$650,000 ",2STORY,SFR,"3,501",5,3,3,N,N,2005,,58
1,2733981,89084,RES,A-ER,7418 Bugler Swan WAY,"$650,000 ",2STORY,SFR,"3,732",5,4,3,N,N,2006,,73
1,2716024,89147,RES,A-ER,4721 Jasper Rock CT,"$649,999 ",2STORY,SFR,"2,533",5,3,3,Y,Y,1995,,140
1,2708732,89144,RES,A-ER,11224 Rose Reflet PL,"$649,999 ",2STORY,SFR,"2,100",5,3,2,Y,N,2000,,167
1,2745879,89052,RES,A-ER,2344 Kenneth AVE,"$649,990 ",2STORY,SFR,"2,897",5,3,3,N,N,2000,,13
1,2745081,89060,RES,A-ER,5880 Johnnie Mine ST,"$649,900 ",1STORY,SFR,"3,289",5,5,3,N,N,2020,,17
1,2672220,89084,RES,A-ER,7073 Seabirds PL,"$649,900 ",2STORY,SFR,"2,799",5,3,3,Y,N,2006,,290
1,2660288,89110,RES,A-ER,4928 East Monroe AVE,"$649,900 ",1STORY,SFR,"1,824",5,3,1,N,N,1963,,327
