#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2710017,89117,RES,S,7636 Edna AVE,"$734,573 ",1STORY,SFR,"1,543",1,1,0,N,N,2003,11/14/2025,62
1,2676983,84735,RES,S,660 East Aspen Meadow DR,"$663,000 ",2STORY,SFR,945,1,1,3,N,N,1982,10/3/2025,116
1,2694459,89043,RES,S,8075 Mount Wilson Ranch RD,"$385,000 ",2STORY,SFR,680,1,1,1,N,N,2008,9/11/2025,39
1,2721867,89052,RES,S,3017 Monroe Park RD,"$364,000 ",1STORY,SFR,"1,080",1,2,2,N,N,2002,10/30/2025,13
1,2653881,89015,RES,S,250 Tonalea AVE,"$349,000 ",1STORY,SFR,"1,124",1,1,2,N,N,1980,8/28/2025,62
1,2689930,89019,RES,S,275 Vegas DR,"$338,000 ",1STORY,SFR,384,1,1,0,N,N,2019,9/15/2025,89
1,2697860,89110,RES,S,10 Ronald LN,"$335,000 ",1STORY,SFR,656,1,1,0,N,N,1955,7/25/2025,7
1,2727110,89156,RES,S,5460 Tolentino,"$315,000 ",1STORY,SFR,500,1,1,10,N,N,1998,11/18/2025,28
1,2705680,89010,RES,S,200 Mountain Water Ranch AVE,"$304,000 ","1STORY,BASEMNT,LOFTLIV",SFR,"1,127",1,1,2,N,N,1996,12/12/2025,14
1,2731753,89301,RES,S,1325 Avenue D,"$250,000 ",1STORY,SFR,"1,888",1,2,2,N,N,1970,12/3/2025,14
1,2732321,89060,RES,S,2721 McMurray DR,"$200,000 ",1STORY,SFR,232,1,1,2,N,N,1998,12/1/2025,11
1,2698211,89060,RES,S,2170 West Gally RD,"$190,000 ",1HALFSTORY,SFR,876,1,1,0,N,N,1972,9/8/2025,50
1,2650852,89318,RES,S,5 Avenue B,"$122,000 ",1STORY,SFR,580,1,1,0,N,N,1930,7/11/2025,126
1,2706123,89048,RES,S,1800 Las Casitas ST,"$100,000 ",1STORY,SFR,761,1,1,0,N,N,1995,9/9/2025,20
1,2689929,89043,RES,S,631 McCannon ST,"$100,000 ",1STORY,SFR,702,1,1,0,N,N,1933,9/10/2025,66
1,2711053,89318,RES,S,25 North Sixth Street,"$85,000 ",1STORY,SFR,624,1,1,0,N,N,1930,12/31/2025,95
1,2692736,89301,RES,S,383 Ely AVE,"$80,500 ",1STORY,SFR,640,1,1,0,N,N,1908,7/14/2025,10
1,2726036,84713,RES,S,574 Lakeside AVE,"$80,000 ",2STORY,SFR,692,1,1,0,N,N,1988,11/3/2025,15
