#,Unnamed: 1,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM,price_clean,sqft
1,2710017,89117,RES,S,7636 Edna AVE,"$734,573 ",1STORY,SFR,"1,543",1,1,0,N,N,2003,11/14/2025,62,734573.0,1543.0
1,2676983,84735,RES,S,660 East Aspen Meadow DR,"$663,000 ",2STORY,SFR,945,1,1,3,N,N,1982,10/3/2025,116,663000.0,945.0
1,2694459,89043,RES,S,8075 Mount Wilson Ranch RD,"$385,000 ",2STORY,SFR,680,1,1,1,N,N,2008,9/11/2025,39,385000.0,680.0
1,2721867,89052,RES,S,3017 Monroe Park RD,"$364,000 ",1STORY,SFR,"1,080",1,2,2,N,N,2002,10/30/2025,13,364000.0,1080.0
1,2653881,89015,RES,S,250 Tonalea AVE,"$349,000 ",1STORY,SFR,"1,124",1,1,2,N,N,1980,8/28/2025,62,349000.0,1124.0
1,2689930,89019,RES,S,275 Vegas DR,"$338,000 ",1STORY,SFR,384,1,1,0,N,N,2019,9/15/2025,89,338000.0,384.0
1,2697860,89110,RES,S,10 Ronald LN,"$335,000 ",1STORY,SFR,656,1,1,0,N,N,1955,7/25/2025,7,335000.0,656.0
1,2727110,89156,RES,S,5460 Tolentino,"$315,000 ",1STORY,SFR,500,1,1,10,N,N,1998,11/18/2025,28,315000.0,500.0
1,2705680,89010,RES,S,200 Mountain Water Ranch AVE,"$304,000 ","1STORY,BASEMNT,LOFTLIV",SFR,"1,127",1,1,2,N,N,1996,12/12/2025,14,304000.0,1127.0
1,2731753,89301,RES,S,1325 Avenue D,"$250,000 ",1STORY,SFR,"1,888",1,2,2,N,N,1970,12/3/2025,14,250000.0,1888.0
1,2732321,89060,RES,S,2721 McMurray DR,"$200,000 ",1STORY,SFR,232,1,1,2,N,N,1998,12/1/2025,11,200000.0,232.0
1,2698211,89060,RES,S,2170 West Gally RD,"$190,000 ",1HALFSTORY,SFR,876,1,1,0,N,N,1972,9/8/2025,50,190000.0,876.0
1,2650852,89318,RES,S,5 Avenue B,"$122,000 ",1STORY,SFR,580,1,1,0,N,N,1930,7/11/2025,126,122000.0,580.0
1,2706123,89048,RES,S,1800 Las Casitas ST,"$100,000 ",1STORY,SFR,761,1,1,0,N,N,1995,9/9/2025,20,100000.0,761.0
1,2689929,89043,RES,S,631 McCannon ST,"$100,000 ",1STORY,SFR,702,1,1,0,N,N,1933,9/10/2025,66,100000.0,702.0
1,2711053,89318,RES,S,25 North Sixth Street,"$85,000 ",1STORY,SFR,624,1,1,0,N,N,1930,12/31/2025,95,85000.0,624.0
1,2692736,89301,RES,S,383 Ely AVE,"$80,500 ",1STORY,SFR,640,1,1,0,N,N,1908,7/14/2025,10,80500.0,640.0
1,2726036,84713,RES,S,574 Lakeside AVE,"$80,000 ",2STORY,SFR,692,1,1,0,N,N,1988,11/3/2025,15,80000.0,692.0
1,2725221,89044,RES,S,2449 Ozark Plateau DR,"$500,000 ",1STORY,SFR,"1,712",2,2,2,N,N,2007,11/25/2025,16,500000.0,1712.0
1,2717933,89052,RES,S,2200 Carrizo WAY,"$499,000 ",1STORY,SFR,"1,712",2,2,2,N,N,2005,10/30/2025,35,499000.0,1712.0
1,2704598,89134,RES,S,9525 Salem Hills CT,"$495,000 ",1STORY,SFR,"1,520",2,2,2,N,N,1999,12/15/2025,101,495000.0,1520.0
1,2731024,89134,RES,S,9032 Marble DR,"$490,000 ",1STORY,SFR,"1,384",2,2,2,N,N,1988,11/24/2025,12,490000.0,1384.0
1,2719326,89012,RES,S,579 Carmel Mesa DR,"$490,000 ",1STORY,SFR,"1,590",2,2,2,N,N,2000,10/24/2025,9,490000.0,1590.0
1,2716486,89052,RES,S,2589 Shellsburg AVE,"$490,000 ",1STORY,SFR,"2,200",2,2,2,N,N,1999,10/15/2025,10,490000.0,2200.0
1,2716045,89052,RES,S,2095 Colvin Run DR,"$485,000 ",1STORY,SFR,"1,632",2,2,2,N,N,2002,12/12/2025,63,485000.0,1632.0
1,2706802,89138,RES,S,884 Carlton Terrace LN,"$485,000 ",1STORY,SFR,"1,421",2,2,2,N,N,2024,12/5/2025,88,485000.0,1421.0
1,2728498,89134,RES,S,3016 Lotus Hill DR,"$480,000 ",1STORY,SFR,"1,804",2,2,2,N,N,1992,11/12/2025,13,480000.0,1804.0
1,2710499,89012,RES,S,542 Eagle Perch PL,"$480,000 ",1STORY,SFR,"1,674",2,2,2,N,N,2000,12/11/2025,90,480000.0,1674.0
1,2737722,89134,RES,S,8513 Festival DR,"$478,000 ",1STORY,SFR,"1,384",2,2,2,N,N,1989,12/31/2025,16,478000.0,1384.0
1,2735605,89012,RES,S,224 Misty Garden ST,"$475,000 ",1STORY,SFR,"1,460",2,2,2,N,N,1997,12/30/2025,4,475000.0,1460.0
1,2730261,89012,RES,S,1978 High Mesa DR,"$475,000 ",1STORY,SFR,"1,558",2,2,2,N,N,1998,11/25/2025,5,475000.0,1558.0
1,2722151,89052,RES,S,2356 Great Elk DR,"$475,000 ",1STORY,SFR,"1,632",2,2,2,N,N,2002,1/7/2026,70,475000.0,1632.0
1,2724320,89052,RES,S,2703 White Sage DR,"$470,000 ",1STORY,SFR,"1,610",2,2,2,N,N,2004,12/8/2025,35,470000.0,1610.0
1,2718937,89044,RES,S,2313 Janesville LN,"$469,000 ",1STORY,SFR,"1,836",2,2,2,N,N,2007,12/12/2025,66,469000.0,1836.0
1,2692192,89011,RES,S,107 Barkset WAY,"$465,990 ",1STORY,SFR,"1,724",2,3,2,N,N,2025,10/30/2025,111,465990.0,1724.0
1,2721584,89012,RES,S,500 Edgefield Ridge PL,"$464,900 ",1STORY,SFR,"1,214",2,2,2,N,N,1998,10/14/2025,6,464900.0,1214.0
1,2714802,89012,RES,S,1778 Eagle Mesa AVE,"$463,500 ",1STORY,SFR,"1,590",2,2,2,N,Y,2000,11/25/2025,63,463500.0,1590.0
